iter	Passed	Remaining
0	135	135676
1	136	68168
2	137	45633
3	138	34387
4	138	27635
5	139	23121
6	140	19905
7	141	17501
8	141	15632
9	142	14128
10	143	12909
11	144	11893
12	145	11033
13	146	10287
14	146	9648
15	147	9086
16	148	8602
17	149	8156
18	150	7756
19	150	7395
20	151	7075
21	152	6779
22	153	6509
23	153	6259
24	154	6031
25	155	5819
26	156	5623
27	156	5441
28	157	5270
29	158	5112
30	158	4963
31	159	4824
32	160	4693
33	160	4570
34	161	4457
35	162	4349
36	163	4253
37	164	4163
38	165	4074
39	165	3983
40	166	3898
41	167	3817
42	168	3740
43	168	3665
44	169	3594
45	170	3526
46	170	3462
47	171	3399
48	172	3339
49	172	3282
50	173	3226
51	174	3174
52	174	3122
53	175	3074
54	176	3026
55	176	2981
56	177	2937
57	178	2894
58	178	2853
59	179	2813
60	180	2774
61	180	2736
62	181	2700
63	182	2664
64	182	2631
65	183	2597
66	184	2565
67	184	2530
68	185	2499
69	185	2470
70	186	2441
71	187	2413
72	187	2386
73	188	2360
74	189	2335
75	189	2309
76	190	2285
77	191	2264
78	192	2241
79	192	2219
80	193	2196
81	194	2175
82	194	2154
83	195	2133
84	196	2110
85	196	2091
86	197	2070
87	197	2051
88	198	2033
89	199	2015
90	199	1997
91	200	1980
92	201	1963
93	202	1947
94	202	1931
95	203	1915
96	204	1899
97	204	1884
98	205	1869
99	206	1860
100	207	1847
101	208	1831
102	208	1819
103	209	1805
104	210	1793
105	211	1780
106	211	1767
107	212	1755
108	213	1743
109	214	1731
110	214	1720
111	215	1709
112	216	1697
113	216	1685
114	217	1674
115	218	1662
116	218	1651
117	219	1640
118	220	1629
119	220	1618
120	221	1608
121	222	1599
122	222	1587
123	223	1577
124	223	1567
125	224	1557
126	225	1548
127	225	1537
128	226	1527
129	226	1519
130	227	1510
131	228	1501
132	229	1493
133	229	1484
134	230	1475
135	230	1467
136	231	1459
137	232	1450
138	232	1442
139	233	1434
140	234	1426
141	234	1418
142	235	1410
143	236	1404
144	236	1397
145	237	1390
146	238	1383
147	239	1376
148	239	1369
149	240	1362
150	241	1355
151	241	1348
152	242	1341
153	242	1334
154	243	1328
155	244	1321
156	245	1315
157	245	1309
158	246	1302
159	247	1296
160	247	1290
161	248	1284
162	248	1278
163	249	1273
164	250	1268
165	251	1262
166	252	1257
167	252	1251
168	253	1246
169	254	1240
170	254	1235
171	255	1229
172	256	1224
173	256	1218
174	257	1213
175	258	1208
176	258	1203
177	259	1198
178	260	1192
179	260	1187
180	261	1181
181	261	1176
182	262	1171
183	263	1166
184	263	1162
185	264	1157
186	265	1153
187	265	1148
188	266	1144
189	267	1139
190	268	1135
191	268	1131
192	269	1127
193	270	1122
194	270	1118
195	271	1114
196	272	1109
197	273	1105
198	273	1101
199	274	1097
200	275	1093
201	275	1089
202	276	1085
203	277	1081
204	277	1076
205	278	1072
206	279	1069
207	279	1065
208	280	1061
209	281	1057
210	281	1053
211	282	1050
212	283	1046
213	283	1043
214	284	1039
215	285	1035
216	285	1031
217	286	1027
218	287	1024
219	287	1020
220	288	1016
221	289	1013
222	289	1009
223	290	1006
224	291	1002
225	291	999
226	292	995
227	293	992
228	293	989
229	294	987
230	295	984
231	296	981
232	297	977
233	297	975
234	298	971
235	299	968
236	299	965
237	300	961
238	301	958
239	301	955
240	302	952
241	303	949
242	303	945
243	304	942
244	305	939
245	305	937
246	306	934
247	307	931
248	307	928
249	308	926
250	309	923
251	310	920
252	310	917
253	311	914
254	312	911
255	312	908
256	313	907
257	314	904
258	315	902
259	316	899
260	316	897
261	317	894
262	318	892
263	319	890
264	320	887
265	320	885
266	321	883
267	322	881
268	323	879
269	324	876
270	325	874
271	325	871
272	326	869
273	327	866
274	327	864
275	328	861
276	329	859
277	329	856
278	330	854
279	331	852
280	332	850
281	332	847
282	333	845
283	334	842
284	335	840
285	335	837
286	336	835
287	336	833
288	338	831
289	338	829
290	339	827
291	340	825
292	340	822
293	341	820
294	342	818
295	343	815
296	343	813
297	344	811
298	345	808
299	345	806
300	346	804
301	346	801
302	347	799
303	348	797
304	348	795
305	349	792
306	350	790
307	350	788
308	351	786
309	352	784
310	353	782
311	353	779
312	354	777
313	355	775
314	355	773
315	356	771
316	357	769
317	357	767
318	358	764
319	359	762
320	359	760
321	360	758
322	360	756
323	361	754
324	362	752
325	362	750
326	363	748
327	364	746
328	365	744
329	365	742
330	366	740
331	367	738
332	367	736
333	368	734
334	369	732
335	369	730
336	370	728
337	371	727
338	371	725
339	372	723
340	373	721
341	373	719
342	374	717
343	375	716
344	376	714
345	376	712
346	377	710
347	378	708
348	378	706
349	379	704
350	379	702
351	380	700
352	381	699
353	382	697
354	383	696
355	383	694
356	384	692
357	385	690
358	385	689
359	386	687
360	387	685
361	387	683
362	388	681
363	389	679
364	389	678
365	390	676
366	391	674
367	391	673
368	392	671
369	393	669
370	394	668
371	394	666
372	395	664
373	396	663
374	396	661
375	397	659
376	398	658
377	398	656
378	399	654
379	400	652
380	400	651
381	401	649
382	402	647
383	402	646
384	403	644
385	404	642
386	404	641
387	405	639
388	406	638
389	406	636
390	407	634
391	408	633
392	408	631
393	409	630
394	410	628
395	410	626
396	411	625
397	412	623
398	412	622
399	413	620
400	414	618
401	414	617
402	415	615
403	416	614
404	416	612
405	417	610
406	418	609
407	418	607
408	419	606
409	420	605
410	421	603
411	421	602
412	422	600
413	423	599
414	424	597
415	424	596
416	425	595
417	426	593
418	427	592
419	428	591
420	428	589
421	429	588
422	430	586
423	430	585
424	431	583
425	432	582
426	432	580
427	433	579
428	434	577
429	434	576
430	435	575
431	436	573
432	437	572
433	437	570
434	438	569
435	439	568
436	439	566
437	440	565
438	441	564
439	442	562
440	442	561
441	443	559
442	444	558
443	444	557
444	445	555
445	446	554
446	446	552
447	447	551
448	448	550
449	449	548
450	449	547
451	450	546
452	451	544
453	451	543
454	452	542
455	453	540
456	453	539
457	454	538
458	455	536
459	456	535
460	456	534
461	457	532
462	458	531
463	458	529
464	459	528
465	460	527
466	460	525
467	461	524
468	462	523
469	462	521
470	463	520
471	463	518
472	464	517
473	465	516
474	465	514
475	466	513
476	467	512
477	467	510
478	468	509
479	469	508
480	470	507
481	471	506
482	472	505
483	472	504
484	473	502
485	474	501
486	474	500
487	475	498
488	476	497
489	476	496
490	477	495
491	478	493
492	478	492
493	479	491
494	480	490
495	481	488
496	481	487
497	482	486
498	483	485
499	484	484
500	484	482
501	485	481
502	486	480
503	486	479
504	487	477
505	488	476
506	488	475
507	489	474
508	490	472
509	490	471
510	491	470
511	492	469
512	493	468
513	493	466
514	494	465
515	495	464
516	495	463
517	496	461
518	497	460
519	497	459
520	498	458
521	499	457
522	499	455
523	500	454
524	501	453
525	501	452
526	502	451
527	503	449
528	503	448
529	504	447
530	505	446
531	505	444
532	506	443
533	507	442
534	507	441
535	508	440
536	509	439
537	509	437
538	510	436
539	511	435
540	512	434
541	513	433
542	514	432
543	515	431
544	515	430
545	516	429
546	517	428
547	517	427
548	518	425
549	519	424
550	519	423
551	520	422
552	521	421
553	522	420
554	522	419
555	523	417
556	523	416
557	524	415
558	525	414
559	525	413
560	526	412
561	527	410
562	528	409
563	528	408
564	529	407
565	529	406
566	530	405
567	531	404
568	531	402
569	532	401
570	533	400
571	533	399
572	534	398
573	535	397
574	535	396
575	536	394
576	537	393
577	537	392
578	538	391
579	539	390
580	540	389
581	540	388
582	541	387
583	542	386
584	543	385
585	543	384
586	544	383
587	545	382
588	545	380
589	546	379
590	547	378
591	548	377
592	548	376
593	549	375
594	550	374
595	550	373
596	551	372
597	552	371
598	552	370
599	553	368
600	554	367
601	554	366
602	555	365
603	556	364
604	557	363
605	558	363
606	559	362
607	559	360
608	560	359
609	561	358
610	561	357
611	562	356
612	563	355
613	563	354
614	564	353
615	565	352
616	565	351
617	566	350
618	567	349
619	568	348
620	568	347
621	569	346
622	570	344
623	570	343
624	571	342
625	572	341
626	572	340
627	573	339
628	574	338
629	574	337
630	575	336
631	576	335
632	576	334
633	577	333
634	578	332
635	578	331
636	579	330
637	580	329
638	580	328
639	581	327
640	582	326
641	582	324
642	583	323
643	584	322
644	584	321
645	585	320
646	586	319
647	586	318
648	587	317
649	588	316
650	589	315
651	589	314
652	590	313
653	591	312
654	591	311
655	592	310
656	593	309
657	593	308
658	594	307
659	595	306
660	595	305
661	596	304
662	597	303
663	597	302
664	598	301
665	599	300
666	600	299
667	601	298
668	601	297
669	602	296
670	603	295
671	604	294
672	605	293
673	605	292
674	606	291
675	607	290
676	607	289
677	608	288
678	609	287
679	609	286
680	610	285
681	611	284
682	611	283
683	612	282
684	613	281
685	613	280
686	614	279
687	614	278
688	615	277
689	616	276
690	617	275
691	617	274
692	618	273
693	619	273
694	620	272
695	620	271
696	621	270
697	622	269
698	622	268
699	623	267
700	624	266
701	624	265
702	625	264
703	626	263
704	626	262
705	627	261
706	628	260
707	628	259
708	629	258
709	630	257
710	630	256
711	631	255
712	632	254
713	632	253
714	633	252
715	634	251
716	634	250
717	635	249
718	636	248
719	636	247
720	637	246
721	638	245
722	638	244
